      ,InitSim              ,DlgSim              ,QuestMark,Dup  ,What ,Where,When ,Why  ,Who  ,How  ,AbsPos,NormPos            ,Len,LenUni,LenStem,Starter,Thank,ExMark,Feedback,SenScr(Neg),SenScr(Neu),SenScr(Pos),Lex(Pos),Lex(Neg),label
2_2   ,0.0                  ,0.26032497976259816 ,False    ,False,False,False,False,False,False,False,2     ,0.5                ,4  ,4     ,4      ,True   ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,FD
2_3   ,0.20759288232920736  ,0.5630461745420196  ,False    ,False,True ,False,False,False,False,False,3     ,0.75               ,14 ,12    ,12     ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,PA
2_4   ,0.11292601039456923  ,0.4991937678860538  ,False    ,False,False,False,False,False,False,True ,4     ,1.0                ,14 ,13    ,13     ,True   ,True ,False ,False   ,0.0        ,0.709      ,0.291      ,0       ,0       ,PF
3_0   ,0.9999999999999998   ,0.3863361974194023  ,True     ,False,False,False,False,False,False,True ,0     ,0.0                ,73 ,53    ,49     ,True   ,False,False ,False   ,0.054      ,0.865      ,0.081      ,2       ,3       ,OQ
3_1   ,0.2725654228652838   ,0.6326160937290474  ,False    ,False,False,False,False,True ,False,False,1     ,0.2                ,51 ,36    ,36     ,False  ,False,False ,False   ,0.0        ,0.972      ,0.028      ,1       ,3       ,PA
3_2   ,0.4198314349316566   ,0.7175104481769479  ,False    ,False,True ,False,True ,False,False,False,2     ,0.4                ,62 ,53    ,52     ,True   ,False,False ,False   ,0.092      ,0.783      ,0.126      ,4       ,4       ,RQ
3_3   ,0.12053078224419124  ,0.376734503358931   ,True     ,False,True ,False,False,False,False,False,3     ,0.6                ,13 ,12    ,12     ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,CQ
3_4   ,0.09707393000265692  ,0.47083891237481207 ,False    ,False,False,False,False,False,False,False,4     ,0.8                ,18 ,16    ,16     ,False  ,False,False ,False   ,0.0        ,0.891      ,0.109      ,0       ,0       ,PA
3_5   ,0.18195268062766254  ,0.7593161743456897  ,False    ,False,True ,False,True ,False,False,False,5     ,1.0                ,67 ,51    ,50     ,False  ,False,False ,False   ,0.0        ,0.848      ,0.152      ,3       ,1       ,PA
4_0   ,0.9999999999999999   ,0.2962938964379121  ,True     ,False,False,False,True ,False,False,False,0     ,0.0                ,64 ,51    ,51     ,True   ,False,False ,False   ,0.0        ,0.887      ,0.113      ,3       ,3       ,OQ
4_1   ,0.08392122152180832  ,0.12980614554501493 ,True     ,False,False,True ,False,False,False,False,1     ,0.2                ,9  ,7     ,7      ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,IR
4_2   ,0.1062849262014634   ,0.5404132424567644  ,False    ,False,False,False,False,False,False,False,2     ,0.4                ,29 ,26    ,24     ,True   ,False,False ,False   ,0.0        ,0.957      ,0.043      ,0       ,0       ,FD
4_3   ,0.1179032103190434   ,0.5803404042640982  ,False    ,False,False,False,True ,False,False,False,3     ,0.6                ,23 ,21    ,21     ,False  ,False,False ,False   ,0.0        ,0.955      ,0.045      ,1       ,0       ,PA
4_4   ,0.3001411374088068   ,0.9165009813360366  ,True     ,True ,False,False,True ,False,False,False,4     ,0.8                ,137,97    ,94     ,True   ,True ,True  ,False   ,0.021      ,0.881      ,0.098      ,2       ,1       ,PF
4_5   ,0.07182391953334502  ,0.2660077592402007  ,False    ,False,False,False,False,False,False,False,5     ,1.0                ,5  ,5     ,5      ,False  ,False,False ,False   ,0.0        ,0.771      ,0.229      ,0       ,0       ,FD PA
5_0   ,1.0                  ,0.24856130019210912 ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,36 ,33    ,33     ,True   ,False,False ,False   ,0.067      ,0.933      ,0.0        ,0       ,1       ,OQ
5_1   ,0.2580019368053703   ,0.9634086599110191  ,False    ,False,False,False,False,False,False,False,1     ,0.5                ,37 ,30    ,30     ,False  ,True ,False ,False   ,0.0        ,0.852      ,0.148      ,1       ,1       ,PF
5_2   ,0.0                  ,0.26803685195968036 ,False    ,False,False,False,False,False,False,False,2     ,1.0                ,2  ,2     ,2      ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,FD NF
6_0   ,1.0000000000000002   ,0.1902098837149078  ,True     ,True ,True ,False,False,False,False,True ,0     ,0.0                ,65 ,47    ,46     ,True   ,False,False ,False   ,0.093      ,0.878      ,0.028      ,3       ,2       ,OQ
6_1   ,0.09944181760293865  ,0.7919979064010112  ,False    ,False,False,False,False,False,False,False,1     ,0.3333333333333333 ,49 ,34    ,31     ,False  ,False,False ,True    ,0.0        ,0.926      ,0.074      ,5       ,2       ,PA
6_2   ,0.1581873439007191   ,0.5574045884759726  ,True     ,True ,False,False,False,False,False,False,2     ,0.6666666666666666 ,17 ,17    ,17     ,False  ,False,False ,False   ,0.071      ,0.868      ,0.061      ,0       ,1       ,FQ RQ
6_3   ,0.12941048611772354  ,0.5097104917023367  ,False    ,False,False,False,False,False,False,False,3     ,1.0                ,12 ,12    ,12     ,True   ,False,False ,False   ,0.0        ,0.7        ,0.3        ,3       ,0       ,FD PA
7_0   ,0.9999999999999992   ,0.3518792452206399  ,True     ,False,False,True ,False,False,False,False,0     ,0.0                ,144,110   ,102    ,True   ,False,False ,False   ,0.06       ,0.876      ,0.064      ,2       ,7       ,OQ
7_1   ,0.20539332387524223  ,0.5440357367875616  ,True     ,False,False,False,False,True ,False,True ,1     ,0.16666666666666666,47 ,42    ,41     ,True   ,False,False ,False   ,0.08       ,0.773      ,0.147      ,3       ,4       ,PA
7_2   ,0.17212806423780888  ,0.48938299436578037 ,False    ,False,False,False,False,False,False,False,2     ,0.3333333333333333 ,18 ,17    ,17     ,False  ,False,False ,False   ,0.0        ,0.822      ,0.178      ,2       ,1       ,IR
7_3   ,0.21705216022161622  ,0.3748370968974297  ,False    ,False,False,False,False,False,False,False,3     ,0.5                ,12 ,12    ,12     ,True   ,False,False ,False   ,0.0        ,0.886      ,0.114      ,0       ,1       ,FD
7_4   ,0.2782830607816269   ,0.8713344731854754  ,False    ,False,False,False,True ,False,False,True ,4     ,0.6666666666666666 ,117,79    ,76     ,False  ,False,False ,False   ,0.055      ,0.847      ,0.098      ,7       ,13      ,IR PA
7_5   ,0.24962912611735305  ,0.6084565180533029  ,False    ,False,True ,False,False,False,False,False,5     ,0.8333333333333334 ,48 ,39    ,39     ,True   ,True ,True  ,False   ,0.062      ,0.785      ,0.153      ,4       ,4       ,FD PF
7_6   ,0.1383949615800685   ,0.48798502455586146 ,False    ,False,False,False,False,False,False,False,6     ,1.0                ,21 ,19    ,19     ,False  ,False,False ,False   ,0.051      ,0.805      ,0.143      ,1       ,3       ,PF
8_0   ,1.0000000000000004   ,0.518674951336798   ,False    ,False,True ,False,True ,False,False,True ,0     ,0.0                ,50 ,40    ,39     ,True   ,True ,False ,False   ,0.045      ,0.839      ,0.116      ,3       ,1       ,PF
8_1   ,0.3032461195663595   ,0.5438442413577304  ,True     ,False,False,False,False,False,False,False,1     ,0.1111111111111111 ,39 ,34    ,31     ,False  ,False,True  ,False   ,0.026      ,0.685      ,0.288      ,8       ,0       ,PA
8_2   ,0.35092698310285425  ,0.7403791990315258  ,True     ,False,False,False,True ,False,False,False,2     ,0.2222222222222222 ,124,87    ,82     ,False  ,False,False ,False   ,0.0        ,0.914      ,0.086      ,14      ,0       ,FD PA
8_3   ,0.13838568803577875  ,0.29876403495413717 ,False    ,False,False,False,False,False,False,True ,3     ,0.3333333333333333 ,15 ,15    ,15     ,False  ,False,False ,False   ,0.0        ,0.677      ,0.323      ,1       ,0       ,FD
8_4   ,0.3185539748186044   ,0.5974539671055534  ,False    ,False,True ,True ,False,False,False,False,4     ,0.4444444444444444 ,53 ,46    ,46     ,True   ,True ,True  ,True    ,0.04       ,0.723      ,0.237      ,2       ,2       ,FD
8_5   ,0.06664498586938442  ,0.21506957366136698 ,False    ,False,False,False,False,False,False,False,5     ,0.5555555555555556 ,9  ,9     ,9      ,False  ,False,True  ,False   ,0.0        ,0.589      ,0.411      ,1       ,0       ,GG
8_6   ,0.3987394634283163   ,0.7003679757858673  ,False    ,False,False,False,False,False,False,False,6     ,0.6666666666666666 ,47 ,43    ,42     ,True   ,True ,False ,False   ,0.023      ,0.833      ,0.144      ,4       ,1       ,FD
8_7   ,0.0                  ,0.08623742617889539 ,False    ,False,False,False,False,False,False,False,7     ,0.7777777777777778 ,2  ,2     ,2      ,True   ,False,False ,False   ,0.0        ,0.465      ,0.535      ,0       ,0       ,JK
8_8   ,0.05237857242937104  ,0.16721438152019485 ,False    ,False,False,False,False,False,False,False,8     ,0.8888888888888888 ,4  ,4     ,4      ,True   ,True ,False ,False   ,0.0        ,0.463      ,0.537      ,0       ,0       ,GG
8_9   ,0.38806194381273346  ,0.7042122822701338  ,False    ,False,False,False,False,False,False,False,9     ,1.0                ,83 ,68    ,68     ,True   ,True ,False ,False   ,0.02       ,0.823      ,0.157      ,2       ,1       ,FQ
9_0   ,1.0000000000000004   ,0.1730048173428229  ,False    ,False,True ,False,False,False,False,False,0     ,0.0                ,8  ,8     ,8      ,True   ,True ,False ,False   ,0.148      ,0.675      ,0.178      ,0       ,0       ,OQ
9_1   ,0.18179930715958725  ,0.9735463442144379  ,False    ,False,False,False,False,False,False,False,1     ,0.5                ,12 ,12    ,12     ,False  ,False,False ,False   ,0.0        ,0.884      ,0.116      ,1       ,0       ,PA
9_2   ,0.0                  ,0.32041943235025827 ,False    ,False,False,False,False,False,False,False,2     ,1.0                ,1  ,1     ,1      ,True   ,True ,False ,False   ,0.0        ,0.286      ,0.714      ,1       ,0       ,PF
10_0  ,0.9999999999999997   ,0.51766339455968    ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,136,83    ,76     ,True   ,True ,False ,False   ,0.019      ,0.868      ,0.113      ,8       ,2       ,FD OQ
10_1  ,0.3656186058421196   ,0.7611706062696354  ,False    ,False,False,False,True ,False,False,False,1     ,0.25               ,103,72    ,68     ,False  ,False,False ,False   ,0.11       ,0.792      ,0.098      ,4       ,6       ,PA
10_2  ,0.4354805963841164   ,0.7697409986651366  ,False    ,False,False,False,False,False,False,True ,2     ,0.5                ,98 ,58    ,57     ,False  ,False,False ,False   ,0.0        ,0.812      ,0.188      ,7       ,1       ,PA
10_3  ,0.07803277077678519  ,0.1825953138716678  ,False    ,False,False,False,False,False,False,False,3     ,0.75               ,6  ,6     ,6      ,True   ,True ,True  ,False   ,0.0        ,0.235      ,0.765      ,1       ,0       ,GG
10_4  ,0.03546801737417189  ,0.17722519201873513 ,False    ,False,False,False,False,False,False,False,4     ,1.0                ,6  ,6     ,6      ,True   ,True ,True  ,False   ,0.0        ,0.241      ,0.759      ,2       ,0       ,GG
11_0  ,1.0000000000000002   ,0.19554078159928845 ,False    ,False,True ,False,False,True ,False,False,0     ,0.0                ,38 ,32    ,31     ,True   ,False,False ,True    ,0.035      ,0.739      ,0.227      ,2       ,2       ,OQ
11_1  ,0.09710361395302729  ,0.7747393002305681  ,True     ,False,False,False,True ,False,False,True ,1     ,0.16666666666666666,49 ,42    ,41     ,False  ,False,False ,False   ,0.064      ,0.796      ,0.14       ,2       ,7       ,IR PA
11_2  ,0.11488278516947091  ,0.5057983681075066  ,False    ,False,False,False,True ,False,False,False,2     ,0.3333333333333333 ,19 ,17    ,16     ,False  ,False,False ,True    ,0.053      ,0.884      ,0.063      ,1       ,0       ,CQ
11_3  ,0.15804510621142773  ,0.47377760297420346 ,False    ,False,False,False,False,False,False,False,3     ,0.5                ,24 ,21    ,21     ,True   ,True ,False ,False   ,0.046      ,0.704      ,0.249      ,0       ,0       ,PF
11_4  ,0.04470018948109882  ,0.4452401766054242  ,False    ,False,False,False,False,False,False,False,4     ,0.6666666666666666 ,16 ,14    ,13     ,True   ,True ,False ,False   ,0.095      ,0.456      ,0.449      ,1       ,1       ,PF
11_5  ,0.2004426303421784   ,0.4889665857348975  ,False    ,False,True ,False,False,True ,False,False,5     ,0.8333333333333334 ,22 ,21    ,21     ,False  ,False,False ,False   ,0.053      ,0.802      ,0.145      ,1       ,1       ,PA
11_6  ,0.05744601102348951  ,0.5956758356119847  ,False    ,False,False,False,False,False,False,False,6     ,1.0                ,15 ,14    ,13     ,False  ,False,False ,False   ,0.0        ,0.809      ,0.191      ,1       ,2       ,PA
12_0  ,0.9999999999999997   ,0.3565903746212685  ,True     ,False,False,False,False,False,False,False,0     ,0.0                ,24 ,23    ,23     ,True   ,False,False ,False   ,0.054      ,0.946      ,0.0        ,1       ,1       ,OQ
12_1  ,0.21966136230968902  ,0.6325131300146174  ,False    ,False,False,False,False,False,False,False,1     ,0.14285714285714285,58 ,50    ,50     ,False  ,False,False ,False   ,0.08       ,0.801      ,0.119      ,3       ,6       ,IR PA
12_2  ,0.2046566485273039   ,0.5336700762829597  ,False    ,False,True ,False,False,False,False,False,2     ,0.2857142857142857 ,22 ,17    ,17     ,True   ,False,False ,False   ,0.0        ,0.842      ,0.158      ,1       ,1       ,CQ FD
12_3  ,0.2694873178238941   ,0.6445241894092365  ,False    ,False,False,False,False,False,False,False,3     ,0.42857142857142855,32 ,29    ,28     ,False  ,False,False ,False   ,0.0        ,0.876      ,0.124      ,1       ,4       ,PA
12_4  ,0.1826662573395959   ,0.36596584416869543 ,False    ,True ,False,False,False,False,False,False,4     ,0.5714285714285714 ,17 ,15    ,15     ,True   ,False,False ,False   ,0.142      ,0.858      ,0.0        ,0       ,1       ,FD
12_5  ,0.21616259632882961  ,0.7232612228009296  ,False    ,False,False,False,False,False,False,False,5     ,0.7142857142857143 ,85 ,55    ,55     ,False  ,False,False ,False   ,0.0        ,0.929      ,0.071      ,2       ,0       ,PA
12_6  ,0.03765277417391092  ,0.16067544386128219 ,False    ,False,False,False,False,False,False,False,6     ,0.8571428571428571 ,4  ,3     ,3      ,True   ,True ,True  ,False   ,0.0        ,0.365      ,0.635      ,0       ,0       ,PF
12_7  ,0.02809397272136846  ,0.17913886832638015 ,False    ,False,False,False,False,False,False,False,7     ,1.0                ,7  ,7     ,7      ,False  ,False,False ,False   ,0.0        ,0.36       ,0.64       ,3       ,0       ,GG
13_0  ,1.0                  ,0.11851595282212951 ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,9  ,9     ,8      ,True   ,False,True  ,False   ,0.291      ,0.709      ,0.0        ,0       ,0       ,CQ
13_1  ,0.06401172948116035  ,0.6085862089284005  ,True     ,False,True ,True ,False,False,True ,False,1     ,0.25               ,72 ,53    ,52     ,False  ,False,False ,False   ,0.04       ,0.96       ,0.0        ,1       ,1       ,CQ
13_2  ,0.0                  ,0.2727659571135712  ,True     ,False,True ,False,False,False,False,False,2     ,0.5                ,7  ,5     ,5      ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,IR
13_3  ,0.06462034740365644  ,0.7140415742115536  ,False    ,False,False,False,True ,False,False,False,3     ,0.75               ,68 ,49    ,47     ,False  ,False,False ,False   ,0.015      ,0.962      ,0.022      ,4       ,1       ,FD PA
13_4  ,0.1171465653289072   ,0.744334495081888   ,True     ,False,True ,False,False,False,False,False,4     ,1.0                ,80 ,67    ,60     ,True   ,True ,False ,True    ,0.053      ,0.91       ,0.037      ,2       ,0       ,FD
14_0  ,1.000000000000001    ,0.37650313252904416 ,False    ,False,True ,False,True ,False,True ,True ,0     ,0.0                ,445,285   ,274    ,True   ,True ,True  ,False   ,0.115      ,0.796      ,0.089      ,19      ,24      ,OQ
14_1  ,0.3025656155903519   ,0.7599597712835996  ,True     ,False,False,False,False,False,False,False,1     ,0.1111111111111111 ,110,81    ,79     ,False  ,False,False ,False   ,0.045      ,0.757      ,0.197      ,7       ,3       ,PA
14_2  ,0.19204036515542547  ,0.45441023453986257 ,True     ,False,False,False,False,False,False,False,2     ,0.2222222222222222 ,16 ,16    ,16     ,True   ,True ,False ,False   ,0.085      ,0.757      ,0.158      ,2       ,1       ,CQ FQ
14_3  ,0.09978550319140428  ,0.5959568335639973  ,True     ,False,False,False,False,False,False,False,3     ,0.3333333333333333 ,95 ,46    ,45     ,False  ,False,False ,False   ,0.034      ,0.875      ,0.091      ,2       ,0       ,PA
14_4  ,0.20635099452116196  ,0.34632987433598234 ,False    ,False,False,False,False,False,False,False,4     ,0.4444444444444444 ,36 ,30    ,30     ,True   ,True ,False ,False   ,0.241      ,0.591      ,0.168      ,3       ,3       ,CQ
14_5  ,0.15581107746718642  ,0.4600575192102476  ,False    ,False,False,False,False,False,False,False,5     ,0.5555555555555556 ,31 ,30    ,28     ,False  ,False,False ,False   ,0.144      ,0.816      ,0.04       ,0       ,5       ,FQ
14_6  ,0.06861005548197716  ,0.2015286295561136  ,False    ,True ,False,False,False,False,False,True ,6     ,0.6666666666666666 ,10 ,10    ,10     ,True   ,True ,False ,False   ,0.0        ,0.667      ,0.333      ,0       ,0       ,GG
14_7  ,0.2568283790196065   ,0.5364881734525827  ,False    ,False,False,False,False,False,False,False,7     ,0.7777777777777778 ,33 ,32    ,32     ,False  ,False,False ,False   ,0.104      ,0.821      ,0.075      ,2       ,4       ,CQ
14_8  ,0.29264431619700587  ,0.493839533225852   ,True     ,False,False,False,False,False,False,False,8     ,0.8888888888888888 ,41 ,37    ,37     ,True   ,True ,True  ,False   ,0.129      ,0.694      ,0.177      ,4       ,2       ,PF
14_9  ,0.016369787042628172 ,0.07043964843225516 ,False    ,False,False,False,False,False,False,False,9     ,1.0                ,5  ,4     ,4      ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,JK
15_0  ,1.0000000000000002   ,0.15620976613038579 ,True     ,False,False,False,True ,False,False,True ,0     ,0.0                ,43 ,37    ,37     ,True   ,False,False ,False   ,0.095      ,0.882      ,0.023      ,1       ,3       ,OQ
15_1  ,0.15758732777998477  ,0.9077168328688422  ,False    ,False,False,False,False,False,False,False,1     ,0.5                ,21 ,18    ,18     ,False  ,True ,False ,False   ,0.0        ,0.746      ,0.254      ,3       ,1       ,PA
15_2  ,0.03720408458975724  ,0.4529855675061229  ,False    ,False,False,False,False,False,False,False,2     ,1.0                ,5  ,5     ,5      ,True   ,False,False ,False   ,0.0        ,0.541      ,0.459      ,1       ,0       ,PF
16_0  ,1.0                  ,0.26149506681663454 ,True     ,False,False,False,False,False,False,True ,0     ,0.0                ,36 ,31    ,30     ,True   ,False,False ,False   ,0.023      ,0.977      ,0.0        ,0       ,1       ,OQ
16_1  ,0.21542578314371136  ,0.8849074629436301  ,False    ,False,False,False,True ,False,False,True ,1     ,0.14285714285714285,198,126   ,122    ,False  ,False,False ,False   ,0.037      ,0.865      ,0.099      ,8       ,4       ,FD PA
16_2  ,0.1823076611841657   ,0.6474065358746539  ,True     ,False,False,False,False,False,False,False,2     ,0.2857142857142857 ,42 ,37    ,37     ,True   ,True ,True  ,False   ,0.0        ,0.897      ,0.103      ,0       ,0       ,CQ IR
16_3  ,0.23330219661259527  ,0.798579307194504   ,False    ,False,False,False,False,True ,False,False,3     ,0.42857142857142855,82 ,54    ,52     ,False  ,False,False ,True    ,0.013      ,0.892      ,0.094      ,5       ,0       ,FD PA
16_4  ,0.11737653131476204  ,0.41997558475832675 ,False    ,False,False,False,False,False,False,False,4     ,0.5714285714285714 ,34 ,32    ,30     ,False  ,False,False ,False   ,0.0        ,0.97       ,0.03       ,0       ,0       ,FD PA
16_5  ,0.0                  ,0.13023745855902422 ,False    ,False,False,False,False,False,False,False,5     ,0.7142857142857143 ,3  ,3     ,3      ,True   ,True ,True  ,False   ,0.0        ,0.254      ,0.746      ,2       ,0       ,PF
16_6  ,0.0                  ,0.14119109060916152 ,False    ,False,True ,False,False,False,False,False,6     ,0.8571428571428571 ,4  ,4     ,4      ,True   ,True ,False ,False   ,0.0        ,0.737      ,0.263      ,1       ,0       ,PF
16_7  ,0.0                  ,0.039722832726125396,False    ,False,False,False,False,False,False,False,7     ,1.0                ,1  ,1     ,1      ,False  ,True ,False ,False   ,0.0        ,0.0        ,1.0        ,0       ,0       ,GG
17_0  ,1.0000000000000016   ,0.5792705573442953  ,True     ,False,False,True ,False,False,False,False,0     ,0.0                ,252,164   ,152    ,True   ,False,False ,False   ,0.121      ,0.792      ,0.087      ,11      ,20      ,OQ
17_1  ,0.44494557136716656  ,0.8469498508862167  ,False    ,True ,False,False,False,False,False,True ,1     ,0.25               ,103,72    ,68     ,False  ,False,False ,False   ,0.025      ,0.85       ,0.124      ,5       ,7       ,PA
17_2  ,0.4783643444407693   ,0.6843051683640481  ,True     ,False,False,False,False,False,False,False,2     ,0.5                ,60 ,49    ,47     ,True   ,True ,False ,True    ,0.073      ,0.851      ,0.076      ,3       ,4       ,FD FQ NF
17_3  ,0.37858591314939305  ,0.7792163921043803  ,False    ,False,False,False,False,False,False,False,3     ,0.75               ,75 ,62    ,58     ,False  ,False,False ,False   ,0.017      ,0.824      ,0.159      ,4       ,3       ,PA
17_4  ,0.474208510585708    ,0.6935781703662582  ,True     ,False,False,False,False,False,True ,False,4     ,1.0                ,107,76    ,72     ,True   ,False,True  ,False   ,0.063      ,0.818      ,0.119      ,4       ,7       ,FQ
18_0  ,1.0000000000000002   ,0.33327906850332906 ,True     ,False,False,False,False,False,False,True ,0     ,0.0                ,56 ,43    ,42     ,True   ,False,False ,False   ,0.121      ,0.823      ,0.056      ,0       ,3       ,OQ
18_1  ,0.11250517875328458  ,0.38616873402694935 ,False    ,False,False,False,False,False,False,False,1     ,0.14285714285714285,14 ,14    ,14     ,False  ,False,False ,False   ,0.0        ,0.903      ,0.097      ,1       ,0       ,PA
18_2  ,0.12736809598520582  ,0.28621209697476474 ,True     ,False,False,False,False,False,False,False,2     ,0.2857142857142857 ,25 ,18    ,17     ,True   ,False,False ,False   ,0.213      ,0.739      ,0.048      ,2       ,3       ,FD NF
18_3  ,0.19758368763943596  ,0.7619306365736633  ,False    ,False,False,False,False,False,False,True ,3     ,0.42857142857142855,134,83    ,80     ,False  ,False,False ,False   ,0.03       ,0.888      ,0.082      ,2       ,2       ,PA
18_4  ,0.26171589610061585  ,0.7961204852946464  ,False    ,False,False,False,False,False,False,True ,4     ,0.5714285714285714 ,131,89    ,85     ,False  ,False,False ,False   ,0.031      ,0.823      ,0.145      ,9       ,2       ,PA
18_5  ,0.21869787054104828  ,0.4768152938553031  ,False    ,False,False,False,True ,False,False,False,5     ,0.7142857142857143 ,22 ,21    ,21     ,True   ,False,False ,False   ,0.0        ,0.903      ,0.097      ,1       ,0       ,FD NF
18_6  ,0.173591343748352    ,0.4670339504351336  ,False    ,False,False,False,False,False,False,False,6     ,0.8571428571428571 ,26 ,24    ,24     ,False  ,False,False ,False   ,0.0        ,0.892      ,0.108      ,3       ,1       ,FD PA
18_7  ,0.18530456479600987  ,0.4111774030615726  ,False    ,False,False,False,False,False,False,False,7     ,1.0                ,40 ,35    ,34     ,True   ,True ,False ,False   ,0.0        ,0.788      ,0.212      ,4       ,1       ,PF
19_0  ,1.0000000000000004   ,0.2604420683000625  ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,53 ,44    ,43     ,True   ,False,True  ,False   ,0.139      ,0.807      ,0.054      ,1       ,3       ,OQ
19_1  ,0.22835625416089322  ,0.9195949348904412  ,False    ,False,False,False,True ,False,False,False,1     ,0.5                ,53 ,36    ,34     ,False  ,False,False ,False   ,0.038      ,0.854      ,0.108      ,6       ,2       ,PA
19_2  ,0.19162250537230596  ,0.6532922229549172  ,False    ,False,True ,False,True ,False,False,True ,2     ,1.0                ,32 ,28    ,28     ,True   ,True ,True  ,False   ,0.082      ,0.78       ,0.139      ,3       ,1       ,PA
20_0  ,1.0000000000000004   ,0.1458393963632533  ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,33 ,28    ,27     ,True   ,False,False ,False   ,0.112      ,0.721      ,0.167      ,4       ,1       ,OQ
20_1  ,0.06025165158699422  ,0.718756137670379   ,False    ,False,False,False,False,True ,False,False,1     ,0.3333333333333333 ,23 ,22    ,22     ,False  ,False,False ,False   ,0.131      ,0.776      ,0.093      ,1       ,3       ,IR PA
20_2  ,0.036121120540870126 ,0.5891965837014029  ,False    ,False,False,False,False,False,False,False,2     ,0.6666666666666666 ,13 ,13    ,13     ,True   ,False,False ,False   ,0.108      ,0.723      ,0.169      ,1       ,1       ,FD PF
20_3  ,0.1938971504046861   ,0.6888234524889685  ,False    ,True ,False,False,True ,False,False,False,3     ,1.0                ,21 ,19    ,19     ,False  ,False,False ,False   ,0.064      ,0.808      ,0.128      ,1       ,1       ,RQ
21_0  ,1.0                  ,0.4221531432774921  ,True     ,False,False,False,False,False,False,True ,0     ,0.0                ,8  ,8     ,8      ,True   ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,OQ
21_1  ,0.02744608855320481  ,0.9177694813764128  ,False    ,False,False,False,False,False,False,False,1     ,0.5                ,32 ,30    ,30     ,False  ,False,False ,False   ,0.0        ,0.841      ,0.159      ,1       ,0       ,IR PA
21_2  ,1.0                  ,0.4221531432774921  ,True     ,False,False,False,False,False,False,True ,2     ,1.0                ,8  ,8     ,8      ,False  ,False,False ,False   ,0.0        ,1.0        ,0.0        ,0       ,0       ,FQ RQ
